"","season_name","season","episode","day","tribe_status","castaway","immunity","vote","nullified","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"2386","Survivor: South Pacific",23,10,27,"Merged","Albert",NA,"Dawn",FALSE,"Dawn",11,1,352,346,346
"2387","Survivor: South Pacific",23,10,27,"Merged","Brandon",NA,"Dawn",FALSE,"Dawn",11,1,350,346,346
"2388","Survivor: South Pacific",23,10,27,"Merged","Coach",NA,"Dawn",FALSE,"Dawn",11,1,277,346,346
"2389","Survivor: South Pacific",23,10,27,"Merged","Cochran",NA,"Dawn",FALSE,"Dawn",11,1,348,346,346
"2390","Survivor: South Pacific",23,10,27,"Merged","Dawn",NA,"Edna",FALSE,"Dawn",11,1,346,349,346
"2391","Survivor: South Pacific",23,10,27,"Merged","Edna",NA,"Dawn",FALSE,"Dawn",11,1,349,346,346
"2392","Survivor: South Pacific",23,10,27,"Merged","Rick",NA,"Dawn",FALSE,"Dawn",11,1,351,346,346
"2393","Survivor: South Pacific",23,10,27,"Merged","Sophie","Individual","Dawn",FALSE,"Dawn",11,1,353,346,346
"2394","Survivor: South Pacific",23,10,27,"Merged","Whitney",NA,"Edna",FALSE,"Dawn",11,1,347,349,346
"2395","Survivor: South Pacific",23,10,27,"Merged","Albert",NA,"Whitney",FALSE,"Whitney",12,1,352,347,347
"2396","Survivor: South Pacific",23,10,27,"Merged","Brandon",NA,"Whitney",FALSE,"Whitney",12,1,350,347,347
"2397","Survivor: South Pacific",23,10,27,"Merged","Coach",NA,"Whitney",FALSE,"Whitney",12,1,277,347,347
"2398","Survivor: South Pacific",23,10,27,"Merged","Cochran",NA,"Whitney",FALSE,"Whitney",12,1,348,347,347
"2399","Survivor: South Pacific",23,10,27,"Merged","Edna",NA,"Whitney",FALSE,"Whitney",12,1,349,347,347
"2400","Survivor: South Pacific",23,10,27,"Merged","Rick",NA,"Whitney",FALSE,"Whitney",12,1,351,347,347
"2401","Survivor: South Pacific",23,10,27,"Merged","Sophie","Individual","Whitney",FALSE,"Whitney",12,1,353,347,347
"2402","Survivor: South Pacific",23,10,27,"Merged","Whitney",NA,"Cochran",FALSE,"Whitney",12,1,347,348,347
"2403","Survivor: South Pacific",23,12,30,"Merged","Albert","Individual","Cochran",FALSE,"Cochran",13,1,352,348,348
"2404","Survivor: South Pacific",23,12,30,"Merged","Brandon",NA,"Cochran",FALSE,"Cochran",13,1,350,348,348
"2405","Survivor: South Pacific",23,12,30,"Merged","Coach",NA,"Cochran",FALSE,"Cochran",13,1,277,348,348
"2406","Survivor: South Pacific",23,12,30,"Merged","Cochran",NA,"Rick",FALSE,"Cochran",13,1,348,351,348
"2407","Survivor: South Pacific",23,12,30,"Merged","Edna",NA,"Rick",FALSE,"Cochran",13,1,349,351,348
