"","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"117","Survivor: Borneo",1,11,33,12,"Sean","Rattana","Merged"
"118","Survivor: Borneo",1,11,33,13,"Sue","Rattana","Merged"
"119","Survivor: Borneo",1,11,33,14,"Rudy","Rattana","Merged"
"120","Survivor: Borneo",1,11,33,15,"Kelly","Rattana","Merged"
"121","Survivor: Borneo",1,11,33,16,"Richard","Rattana","Merged"
"122","Survivor: Borneo",1,12,36,12,"Sean","Rattana","Merged"
"123","Survivor: Borneo",1,12,36,13,"Sue","Rattana","Merged"
"124","Survivor: Borneo",1,12,36,14,"Rudy","Rattana","Merged"
"125","Survivor: Borneo",1,12,36,15,"Kelly","Rattana","Merged"
"126","Survivor: Borneo",1,12,36,16,"Richard","Rattana","Merged"
"127","Survivor: Borneo",1,13,37,13,"Sue","Rattana","Merged"
"128","Survivor: Borneo",1,13,37,14,"Rudy","Rattana","Merged"
"129","Survivor: Borneo",1,13,37,15,"Kelly","Rattana","Merged"
"130","Survivor: Borneo",1,13,37,16,"Richard","Rattana","Merged"
"131","Survivor: Borneo",1,13,38,14,"Rudy","Rattana","Merged"
"132","Survivor: Borneo",1,13,38,15,"Kelly","Rattana","Merged"
"133","Survivor: Borneo",1,13,38,16,"Richard","Rattana","Merged"
"134","Survivor: Borneo",1,14,39,15,"Kelly","Rattana","Merged"
"135","Survivor: Borneo",1,14,39,16,"Richard","Rattana","Merged"
"136","Survivor: The Australian Outback",2,1,3,17,"Debb","Kucha","Original"
"137","Survivor: The Australian Outback",2,1,3,21,"Kimmi","Kucha","Original"
"138","Survivor: The Australian Outback",2,1,3,22,"Michael","Kucha","Original"
"139","Survivor: The Australian Outback",2,1,3,23,"Jeff","Kucha","Original"
"140","Survivor: The Australian Outback",2,1,3,24,"Alicia","Kucha","Original"
"141","Survivor: The Australian Outback",2,1,3,26,"Nick","Kucha","Original"
"142","Survivor: The Australian Outback",2,1,3,28,"Rodger","Kucha","Original"
"143","Survivor: The Australian Outback",2,1,3,29,"Elisabeth","Kucha","Original"
"144","Survivor: The Australian Outback",2,1,3,18,"Kel","Ogakor","Original"
"145","Survivor: The Australian Outback",2,1,3,19,"Maralyn","Ogakor","Original"
"146","Survivor: The Australian Outback",2,1,3,20,"Mitchell","Ogakor","Original"
"147","Survivor: The Australian Outback",2,1,3,25,"Jerri","Ogakor","Original"
"148","Survivor: The Australian Outback",2,1,3,27,"Amber","Ogakor","Original"
"149","Survivor: The Australian Outback",2,1,3,30,"Keith","Ogakor","Original"
"150","Survivor: The Australian Outback",2,1,3,31,"Colby","Ogakor","Original"
"151","Survivor: The Australian Outback",2,1,3,32,"Tina","Ogakor","Original"
"152","Survivor: The Australian Outback",2,2,6,21,"Kimmi","Kucha","Original"
"153","Survivor: The Australian Outback",2,2,6,22,"Michael","Kucha","Original"
"154","Survivor: The Australian Outback",2,2,6,23,"Jeff","Kucha","Original"
"155","Survivor: The Australian Outback",2,2,6,24,"Alicia","Kucha","Original"
"156","Survivor: The Australian Outback",2,2,6,26,"Nick","Kucha","Original"
"157","Survivor: The Australian Outback",2,2,6,28,"Rodger","Kucha","Original"
"158","Survivor: The Australian Outback",2,2,6,29,"Elisabeth","Kucha","Original"
"159","Survivor: The Australian Outback",2,2,6,18,"Kel","Ogakor","Original"
"160","Survivor: The Australian Outback",2,2,6,19,"Maralyn","Ogakor","Original"
"161","Survivor: The Australian Outback",2,2,6,20,"Mitchell","Ogakor","Original"
"162","Survivor: The Australian Outback",2,2,6,25,"Jerri","Ogakor","Original"
"163","Survivor: The Australian Outback",2,2,6,27,"Amber","Ogakor","Original"
"164","Survivor: The Australian Outback",2,2,6,30,"Keith","Ogakor","Original"
"165","Survivor: The Australian Outback",2,2,6,31,"Colby","Ogakor","Original"
"166","Survivor: The Australian Outback",2,2,6,32,"Tina","Ogakor","Original"
"167","Survivor: The Australian Outback",2,3,9,21,"Kimmi","Kucha","Original"
"168","Survivor: The Australian Outback",2,3,9,22,"Michael","Kucha","Original"
"169","Survivor: The Australian Outback",2,3,9,23,"Jeff","Kucha","Original"
"170","Survivor: The Australian Outback",2,3,9,24,"Alicia","Kucha","Original"
"171","Survivor: The Australian Outback",2,3,9,26,"Nick","Kucha","Original"
"172","Survivor: The Australian Outback",2,3,9,28,"Rodger","Kucha","Original"
"173","Survivor: The Australian Outback",2,3,9,29,"Elisabeth","Kucha","Original"
"174","Survivor: The Australian Outback",2,3,9,19,"Maralyn","Ogakor","Original"
"175","Survivor: The Australian Outback",2,3,9,20,"Mitchell","Ogakor","Original"
"176","Survivor: The Australian Outback",2,3,9,25,"Jerri","Ogakor","Original"
"177","Survivor: The Australian Outback",2,3,9,27,"Amber","Ogakor","Original"
"178","Survivor: The Australian Outback",2,3,9,30,"Keith","Ogakor","Original"
"179","Survivor: The Australian Outback",2,3,9,31,"Colby","Ogakor","Original"
"180","Survivor: The Australian Outback",2,3,9,32,"Tina","Ogakor","Original"
"181","Survivor: The Australian Outback",2,4,12,21,"Kimmi","Kucha","Original"
"182","Survivor: The Australian Outback",2,4,12,22,"Michael","Kucha","Original"
"183","Survivor: The Australian Outback",2,4,12,23,"Jeff","Kucha","Original"
"184","Survivor: The Australian Outback",2,4,12,24,"Alicia","Kucha","Original"
"185","Survivor: The Australian Outback",2,4,12,26,"Nick","Kucha","Original"
"186","Survivor: The Australian Outback",2,4,12,28,"Rodger","Kucha","Original"
